task_id,task_path,task_desc,error_reason
2,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-AlarmClock-None-Shelf-310/trial_T20190907_151407_969856/traj_data.json,put a alarmclock in shelf,No pick can be done
4,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Box-None-ArmChair-212/trial_T20190908_032818_426471/traj_data.json,put a box in armchair,Posterior action does not work
6,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-CD-None-Safe-323/trial_T20190907_211140_841572/traj_data.json,put a cd in safe,Posterior action does not work
8,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Candle-None-Toilet-419/trial_T20190908_042522_882708/traj_data.json,put some candle on toilet,Posterior action does not work
10,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-CellPhone-None-Desk-312/trial_T20190908_021820_773170/traj_data.json,put a cellphone in desk,Posterior action does not work
15,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-DishSponge-None-Toilet-403/trial_T20190907_192737_190036/traj_data.json,put some dishsponge on toilet,No pick can be done
17,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Egg-None-Fridge-7/trial_T20190919_044140_870607/traj_data.json,put some egg on fridge,Posterior action does not work
18,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Egg-None-Microwave-4/trial_T20190906_234424_765112/traj_data.json,put a egg in microwave,Posterior action does not work
20,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-HandTowel-None-BathtubBasin-423/trial_T20190909_044428_237048/traj_data.json,put a handtowel in bathtubbasin,Posterior action does not work
23,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-HandTowel-None-Toilet-420/trial_T20190908_120224_333615/traj_data.json,put a handtowel in toilet,No pick can be done
25,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Laptop-None-ArmChair-205/trial_T20190908_082554_250199/traj_data.json,put a laptop in armchair,Posterior action does not work
26,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Pan-None-SinkBasin-2/trial_T20190907_211651_985339/traj_data.json,put some pan on sinkbasin,Posterior action does not work
28,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Pen-None-Shelf-310/trial_T20190909_113544_965358/traj_data.json,put some pen on shelf,No pick can be done
29,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Pen-None-SideTable-309/trial_T20190907_051843_166835/traj_data.json,put a pen in sidetable,Posterior action does not work
31,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-PepperShaker-None-SideTable-21/trial_T20190906_213353_632634/traj_data.json,put some peppershaker on sidetable,No pick can be done
32,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Pillow-None-ArmChair-321/trial_T20190908_104920_763828/traj_data.json,put a pillow in armchair,Posterior action does not work
38,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Spoon-None-SinkBasin-19/trial_T20190909_042917_794035/traj_data.json,put a spoon in sinkbasin,Posterior action does not work
39,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-SprayBottle-None-GarbageCan-421/trial_T20190908_122008_678340/traj_data.json,put a spraybottle in garbagecan,No go to action
40,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-SprayBottle-None-Toilet-405/trial_T20190908_021323_460782/traj_data.json,put some spraybottle on toilet,No pick can be done
43,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-ToiletPaper-None-Toilet-419/trial_T20190908_002335_756186/traj_data.json,put a toiletpaper in toilet,No pick can be done
44,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-414/trial_T20190907_041853_604862/traj_data.json,put some toiletpaper on toiletpaperhanger,Posterior action does not work
46,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-427/trial_T20190908_121616_357729/traj_data.json,put a toiletpaper in toiletpaperhanger,No go to action
47,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Tomato-None-Microwave-8/trial_T20190907_205050_993517/traj_data.json,put a tomato in microwave,Posterior action does not work
49,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Vase-None-Safe-204/trial_T20190919_000130_908789/traj_data.json,put some vase on safe,Posterior action does not work
