task_id,task_path,task_desc,executable_go_to_actions,no_executable_go_to_actions
0,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-AlarmClock-None-Desk-307/trial_T20190907_072303_146844/traj_data.json,put a alarmclock in desk,"['go to bed 1', 'go to desk 1', 'go to shelf 1', 'go to drawer 1', 'go to drawer 2', 'go to drawer 3', 'go to sidetable 1']",[]
1,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-AlarmClock-None-Desk-310/trial_T20190909_115859_563203/traj_data.json,put some alarmclock on desk,"['go to bed 1', 'go to sidetable 1', 'go to drawer 1', 'go to drawer 2', 'go to cabinet 1', 'go to desk 1', 'go to cabinet 2', 'go to shelf 1', 'go to cabinet 3', 'go to cabinet 4', 'go to garbagecan 1']",[]
2,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-AlarmClock-None-Shelf-310/trial_T20190907_151407_969856/traj_data.json,put a alarmclock in shelf,"['go to bed 1', 'go to sidetable 1', 'go to drawer 1', 'go to drawer 2', 'go to cabinet 1', 'go to desk 1', 'go to cabinet 2', 'go to shelf 1', 'go to cabinet 3', 'go to cabinet 4', 'go to garbagecan 1']",[]
3,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Book-None-CoffeeTable-229/trial_T20190908_125722_074883/traj_data.json,put some book on coffeetable,"['go to armchair 1', 'go to sofa 1', 'go to coffeetable 1', 'go to drawer 1', 'go to dresser 1', 'go to sidetable 1', 'go to drawer 2', 'go to drawer 3', 'go to drawer 4', 'go to sidetable 2', 'go to sidetable 3']",[]
4,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Box-None-ArmChair-212/trial_T20190908_032818_426471/traj_data.json,put a box in armchair,"['go to armchair 1', 'go to sofa 1', 'go to armchair 2', 'go to coffeetable 1', 'go to tvstand 1', 'go to shelf 1', 'go to sidetable 1', 'go to shelf 2', 'go to garbagecan 1', 'go to drawer 1', 'go to tvstand 2', 'go to shelf 3', 'go to shelf 4']",[]
5,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-CD-None-Dresser-318/trial_T20190907_190322_270194/traj_data.json,put a cd in dresser,"['go to armchair 1', 'go to desk 1', 'go to bed 1', 'go to drawer 1', 'go to dresser 1', 'go to bed 2', 'go to desk 2', 'go to dresser 2', 'go to cabinet 1', 'go to drawer 2', 'go to drawer 3', 'go to drawer 4', 'go to drawer 5', 'go to garbagecan 1', 'go to drawer 6', 'go to drawer 7', 'go to drawer 8', 'go to drawer 9', 'go to drawer 10', 'go to drawer 11']",[]
6,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-CD-None-Safe-323/trial_T20190907_211140_841572/traj_data.json,put a cd in safe,"['go to bed 1', 'go to dresser 1', 'go to bed 2', 'go to sidetable 1', 'go to drawer 1', 'go to drawer 2', 'go to sidetable 2', 'go to drawer 3', 'go to drawer 4', 'go to desk 1', 'go to garbagecan 1', 'go to drawer 5', 'go to drawer 6', 'go to drawer 7', 'go to drawer 8', 'go to drawer 9', 'go to drawer 10', 'go to drawer 11', 'go to safe 1']",[]
7,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Candle-None-Cabinet-418/trial_T20190908_060717_673544/traj_data.json,put a candle in cabinet,"['go to countertop 1', 'go to cabinet 1', 'go to cabinet 2', 'go to sink 1', 'go to cabinet 3', 'go to sinkbasin 1', 'go to handtowelholder 1', 'go to handtowelholder 2', 'go to toilet 1', 'go to garbagecan 1']",[]
8,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Candle-None-Toilet-419/trial_T20190908_042522_882708/traj_data.json,put some candle on toilet,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to sink 1', 'go to sidetable 1', 'go to drawer 1', 'go to sinkbasin 1', 'go to handtowelholder 1', 'go to toilet 1', 'go to drawer 2']",[]
9,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-CellPhone-None-Bed-321/trial_T20190908_231504_321117/traj_data.json,put some cellphone on bed,"['go to armchair 1', 'go to sidetable 1', 'go to drawer 1', 'go to bed 1', 'go to sidetable 2', 'go to drawer 2', 'go to diningtable 1']",[]
10,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-CellPhone-None-Desk-312/trial_T20190908_021820_773170/traj_data.json,put a cellphone in desk,"['go to bed 1', 'go to drawer 1', 'go to sidetable 1', 'go to drawer 2', 'go to desk 1', 'go to shelf 1', 'go to shelf 2', 'go to shelf 3', 'go to shelf 4', 'go to shelf 5', 'go to shelf 6', 'go to shelf 7', 'go to shelf 8']",[]
11,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-CellPhone-None-DiningTable-329/trial_T20190909_074122_684942/traj_data.json,put some cellphone on diningtable,"['go to bed 1', 'go to sidetable 1', 'go to drawer 1', 'go to sidetable 2', 'go to drawer 2', 'go to drawer 3', 'go to drawer 4', 'go to diningtable 1']",[]
12,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-CellPhone-None-Safe-302/trial_T20190908_122757_136508/traj_data.json,put a cellphone in safe,"['go to bed 1', 'go to sidetable 1', 'go to safe 1', 'go to drawer 1', 'go to desk 1', 'go to shelf 1', 'go to shelf 2', 'go to sidetable 2', 'go to drawer 2', 'go to drawer 3', 'go to garbagecan 1', 'go to shelf 3', 'go to shelf 4']",[]
13,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-CellPhone-None-SideTable-326/trial_T20190909_150051_438324/traj_data.json,put some cellphone on sidetable,"['go to bed 1', 'go to bed 2', 'go to shelf 1', 'go to shelf 2', 'go to shelf 3', 'go to shelf 4', 'go to sidetable 1', 'go to shelf 5', 'go to drawer 1', 'go to shelf 6', 'go to drawer 2', 'go to diningtable 1', 'go to shelf 7', 'go to shelf 8', 'go to shelf 9', 'go to shelf 10', 'go to shelf 11', 'go to shelf 12', 'go to shelf 13', 'go to shelf 14']",[]
